"","TYPE","ZONE","CASES","DEATH","DATE"
"97","Communal","South",5,0,2020-05-26
"98","Manufacturing","Calgary",62,0,2020-05-26
"99","Gym/Sports","Calgary",1,0,2020-05-28
"100","Manufacturing","Calgary",7,0,2020-05-30
"101","Long-Term Care","Calgary",1,0,2020-05-31
"102","Private","Edmonton",12,0,2020-06-01
"103","Long-Term Care","Calgary",2,0,2020-06-02
"104","Long-Term Care","Edmonton",1,0,2020-06-02
"105","Shelter","Calgary",2,0,2020-06-03
"106","Long-Term Care","Edmonton",1,0,2020-06-03
"107","Private","Edmonton",11,0,2020-06-03
"108","Social Service","Calgary",2,0,2020-06-04
"109","Food Manufacturing","Calgary",5,0,2020-06-04
"110","Long-Term Care","Calgary",2,0,2020-06-04
"111","Shelter","North",4,0,2020-06-04
"112","Correctional","South",1,0,2020-06-04
"113","Shelter","Calgary",2,0,2020-06-04
"114","Long-Term Care","Calgary",1,0,2020-06-06
"115","Acute Care","South",2,0,2020-06-06
"116","Long-Term Care","Edmonton",1,0,2020-06-08
"117","Group Home","Edmonton",5,0,2020-06-08
"118","Food Manufacturing","Edmonton",6,0,2020-06-08
"119","Long-Term Care","Edmonton",2,0,2020-06-10
"120","Acute Care","Edmonton",7,0,2020-06-10
"121","Correctional","Calgary",1,0,2020-06-10
"122","Social Service","Edmonton",1,0,2020-06-10
"123","Long-Term Care","Edmonton",1,0,2020-06-12
"124","Long-Term Care","Edmonton",2,0,2020-06-13
"125","Long-Term Care","Edmonton",114,32,2020-06-14
"126","Manufacturing","Edmonton",12,0,2020-06-15
"127","Social Service","Edmonton",3,0,2020-06-15
"128","Long-Term Care","Calgary",2,0,2020-06-16
"129","Childcare","Calgary",1,0,2020-06-17
"130","Long-Term Care","Calgary",1,0,2020-06-17
"131","Gym/Sports","Calgary",1,0,2020-06-20
"132","Childcare","Calgary",1,0,2020-06-20
"133","Correctional","Calgary",1,0,2020-06-21
"134","Acute Care","Edmonton",58,11,2020-06-21
"135","Communal","Calgary",56,0,2020-06-21
"136","Long-Term Care","Calgary",1,0,2020-06-21
"137","Social Service","Calgary",1,0,2020-06-22
"138","Long-Term Care","Calgary",1,0,2020-06-22
"139","Long-Term Care","North",1,0,2020-06-23
"140","Protest","Edmonton",8,0,2020-06-25
"141","Restaurant","Edmonton",13,0,2020-06-26
"142","Long-Term Care","Edmonton",1,0,2020-06-26
"143","Long-Term Care","Calgary",1,0,2020-06-26
"144","Restaurant","Edmonton",7,0,2020-06-26
"145","Acute Care","Edmonton",1,0,2020-06-26
"146","Long-Term Care","Calgary",18,1,2020-06-26
"147","Long-Term Care","Calgary",7,1,2020-06-27
"148","Long-Term Care","South",10,1,2020-06-28
"149","Restaurant","Edmonton",12,0,2020-06-28
"150","Long-Term Care","Edmonton",1,0,2020-06-28
"151","Acute Care","Edmonton",1,0,2020-06-28
"152","Long-Term Care","Edmonton",1,0,2020-06-29
"153","Restaurant","Edmonton",11,0,2020-06-29
"154","Long-Term Care","Calgary",3,0,2020-07-01
"155","Private","North",4,0,2020-07-02
"156","Long-Term Care","South",1,0,2020-07-02
"157","Long-Term Care","Calgary",1,0,2020-07-02
"158","Private","North",187,4,2020-07-05
"159","Private","North",6,0,2020-07-05
"160","Communal","Calgary",8,0,2020-07-05
"161","Food Manufacturing","South",6,0,2020-07-05
"162","Manufacturing","Calgary",50,0,2020-07-05
"163","Private","North",6,0,2020-07-06
"164","Long-Term Care","Calgary",1,0,2020-07-07
"165","Social Service","South",1,0,2020-07-07
"166","Private","North",6,0,2020-07-07
"167","Long-Term Care","Calgary",1,0,2020-07-07
"168","Private","North",10,0,2020-07-08
"169","Private","Calgary",27,0,2020-07-14
"170","Restaurant","Calgary",24,0,2020-07-14
"171","Restaurant","Calgary",58,0,2020-07-15
"172","Long-Term Care","South",1,0,2020-07-15
"173","Long-Term Care","Calgary",18,0,2020-07-15
"174","Manufacturing","North",4,0,2020-07-15
"175","Long-Term Care","Edmonton",1,0,2020-07-15
"176","Correctional","Edmonton",1,0,2020-07-15
"177","Long-Term Care","Edmonton",4,0,2020-07-15
"178","Social Service","Edmonton",1,0,2020-07-16
"179","Acute Care","Calgary",6,0,2020-07-19
"180","Long-Term Care","Central",1,0,2020-07-19
"181","Social Service","Calgary",1,0,2020-07-19
"182","Long-Term Care","Edmonton",13,1,2020-07-19
"183","Communal","Calgary",31,0,2020-07-19
"184","Communal","Calgary",2,0,2020-07-19
"185","Communal","Calgary",4,0,2020-07-19
"186","Communal","Calgary",4,0,2020-07-19
"187","Communal","South",11,0,2020-07-19
"188","Communal","Calgary",13,0,2020-07-19
"189","Long-Term Care","Calgary",5,0,2020-07-19
"190","Communal","Calgary",18,0,2020-07-19
"191","Long-Term Care","Edmonton",1,0,2020-07-20
"192","Social Service","Edmonton",1,0,2020-07-20
"193","Group Home","Edmonton",1,0,2020-07-20
"194","Long-Term Care","South",1,0,2020-07-20
"195","Long-Term Care","Calgary",1,0,2020-07-21
"196","Acute Care","Central",3,0,2020-07-21
"197","Long-Term Care","Central",2,0,2020-07-21
"198","Gym/Sports","Calgary",61,0,2020-07-21
"199","Communal","Central",6,0,2020-07-21
"200","Communal","Calgary",4,0,2020-07-22
"201","Long-Term Care","Calgary",1,0,2020-07-22
"202","Communal","Calgary",4,0,2020-07-22
"203","Food Manufacturing","Edmonton",6,0,2020-07-23
"204","Long-Term Care","South",3,2,2020-07-23
"205","Childcare","Edmonton",1,0,2020-07-23
"206","Communal","Calgary",2,1,2020-07-23
"207","Long-Term Care","Edmonton",2,0,2020-07-26
"208","Social Service","Calgary",4,0,2020-07-26
"209","Communal","Calgary",3,0,2020-07-26
"210","Long-Term Care","Edmonton",1,0,2020-07-26
"211","Restaurant","Calgary",9,0,2020-07-26
"212","Long-Term Care","Edmonton",1,0,2020-07-26
"213","Long-Term Care","North",27,5,2020-07-26
"214","Social Service","Edmonton",1,0,2020-07-26
"215","Long-Term Care","Calgary",1,0,2020-07-28
"216","Long-Term Care","Edmonton",2,0,2020-07-28
"217","Communal","Calgary",3,0,2020-07-28
"218","Long-Term Care","Calgary",1,0,2020-07-28
"219","Long-Term Care","Edmonton",2,0,2020-07-28
"220","Long-Term Care","Calgary",1,0,2020-07-30
"221","Long-Term Care","South",1,0,2020-07-30
"222","Long-Term Care","Calgary",2,0,2020-07-30
"223","Social Service","Edmonton",1,0,2020-08-03
"224","Social Service","Edmonton",2,0,2020-08-03
"225","Social Service","Edmonton",10,0,2020-08-03
"226","Communal","North",8,0,2020-08-03
"227","Correctional","Edmonton",1,0,2020-08-03
"228","Shelter","Edmonton",1,0,2020-08-03
"229","Social Service","Edmonton",1,0,2020-08-03
"230","Long-Term Care","Edmonton",1,0,2020-08-03
"231","Long-Term Care","Calgary",1,0,2020-08-03
"232","Long-Term Care","Edmonton",2,0,2020-08-03
"233","Long-Term Care","Edmonton",2,0,2020-08-03
"234","Long-Term Care","Edmonton",2,0,2020-08-03
"235","Junior/High School","Calgary",4,0,2020-08-03
"236","Childcare","Calgary",1,0,2020-08-04
"237","Private","Calgary",7,0,2020-08-04
"238","Social Service","Edmonton",1,0,2020-08-05
"239","Social Service","Edmonton",1,0,2020-08-05
"240","Long-Term Care","Central",1,0,2020-08-05
"241","Social Service","Edmonton",1,0,2020-08-05
"242","Acute Care","Edmonton",2,0,2020-08-05
"243","Private","Edmonton",8,0,2020-08-05
"244","Long-Term Care","Calgary",2,0,2020-08-06
"245","Long-Term Care","Calgary",1,0,2020-08-06
"246","Private","Edmonton",9,0,2020-08-06
"247","Childcare","Calgary",5,0,2020-08-06
"248","Group Home","Edmonton",2,0,2020-08-09
"249","Long-Term Care","Edmonton",1,0,2020-08-09
"250","Long-Term Care","Edmonton",1,0,2020-08-09
"251","Long-Term Care","Calgary",1,0,2020-08-09
"252","Private","Edmonton",10,0,2020-08-09
"253","Social Service","Calgary",2,0,2020-08-09
"254","Social Service","Edmonton",2,0,2020-08-09
"255","Correctional","Calgary",1,0,2020-08-09
"256","Long-Term Care","North",3,0,2020-08-09
"257","Long-Term Care","Edmonton",10,0,2020-08-09
"258","Childcare","Edmonton",1,0,2020-08-09
"259","Childcare","Edmonton",1,0,2020-08-09
"260","Social Service","Edmonton",4,0,2020-08-09
"261","Social Service","Edmonton",1,0,2020-08-09
"262","Social Service","Calgary",1,0,2020-08-09
"263","Childcare","Calgary",7,0,2020-08-09
"264","Communal","North",9,0,2020-08-09
"265","Acute Care","Calgary",3,0,2020-08-09
"266","Private","Edmonton",11,0,2020-08-10
"267","Group Home","Edmonton",1,0,2020-08-11
"268","Social Service","Edmonton",2,0,2020-08-11
"269","Long-Term Care","Edmonton",2,0,2020-08-11
"270","Social Service","Edmonton",1,0,2020-08-11
"271","Long-Term Care","Edmonton",1,0,2020-08-11
"272","Private","Edmonton",12,0,2020-08-11
"273","Group Home","Calgary",1,0,2020-08-13
"274","Private","Calgary",15,0,2020-08-13
"275","Social Service","Edmonton",1,0,2020-08-13
"276","Private","Calgary",10,0,2020-08-13
"277","Long-Term Care","South",1,0,2020-08-13
"278","Group Home","Edmonton",5,0,2020-08-13
"279","Long-Term Care","Edmonton",5,0,2020-08-13
"280","Private","Edmonton",19,0,2020-08-13
"281","Long-Term Care","Edmonton",1,0,2020-08-13
"282","Long-Term Care","Edmonton",1,0,2020-08-13
"283","Long-Term Care","Calgary",1,0,2020-08-13
"284","Long-Term Care","Calgary",1,0,2020-08-13
"285","Private","Edmonton",29,0,2020-08-13
"286","Social Service","Edmonton",1,0,2020-08-13
"287","Social Service","Edmonton",1,0,2020-08-13
"288","Long-Term Care","Edmonton",1,0,2020-08-16
"289","Acute Care","Edmonton",5,1,2020-08-16
"290","Church","Edmonton",106,1,2020-08-16
"291","Private","Edmonton",17,0,2020-08-16
"292","Long-Term Care","Edmonton",3,0,2020-08-16
"293","Food Manufacturing","Calgary",7,0,2020-08-16
"294","Social Service","North",19,1,2020-08-16
"295","Long-Term Care","Edmonton",9,1,2020-08-16
"296","Food Manufacturing","Edmonton",20,0,2020-08-16
"297","Private","Edmonton",17,0,2020-08-17
"298","Long-Term Care","Calgary",1,0,2020-08-18
"299","Manufacturing","Edmonton",7,0,2020-08-18
"300","Private","Edmonton",18,0,2020-08-18
"301","Long-Term Care","Edmonton",2,0,2020-08-18
"302","Long-Term Care","Edmonton",4,0,2020-08-18
"303","Church","North",19,0,2020-08-18
"304","Private","Edmonton",19,0,2020-08-19
"305","Childcare","Edmonton",1,0,2020-08-19
"306","Long-Term Care","Edmonton",1,0,2020-08-19
"307","Childcare","Edmonton",1,0,2020-08-19
"308","Private","Calgary",8,0,2020-08-20
"309","Childcare","Edmonton",5,0,2020-08-20
"310","Private","Edmonton",19,0,2020-08-20
"311","Long-Term Care","Edmonton",3,0,2020-08-20
"312","Group Home","Edmonton",1,0,2020-08-23
"313","Social Service","Edmonton",1,0,2020-08-23
"314","Social Service","Edmonton",1,0,2020-08-23
"315","Long-Term Care","North",5,0,2020-08-23
"316","Long-Term Care","Edmonton",1,0,2020-08-23
"317","Long-Term Care","Edmonton",14,0,2020-08-23
"318","Long-Term Care","Calgary",4,0,2020-08-23
"319","Social Service","Edmonton",1,0,2020-08-23
"320","Long-Term Care","North",17,1,2020-08-23
"321","Social Service","Edmonton",1,0,2020-08-23
"322","Food Manufacturing","Calgary",29,0,2020-08-23
"323","Correctional","Edmonton",1,0,2020-08-23
"324","Long-Term Care","Edmonton",4,0,2020-08-23
"325","Frontline","Edmonton",6,0,2020-08-23
"326","Social Service","Edmonton",1,0,2020-08-23
"327","Acute Care","North",3,0,2020-08-23
"328","Private","Edmonton",19,0,2020-08-23
"329","Social Service","Edmonton",1,0,2020-08-23
"330","Long-Term Care","Calgary",1,0,2020-08-24
"331","Social Service","Calgary",1,0,2020-08-24
"332","Food Manufacturing","Calgary",101,0,2020-08-24
"333","Long-Term Care","Edmonton",1,0,2020-08-25
"334","Manufacturing","North",10,0,2020-08-25
"335","Long-Term Care","Calgary",10,0,2020-08-26
"336","Social Service","Calgary",2,0,2020-08-26
"337","Shelter","Calgary",14,0,2020-08-26
"338","Long-Term Care","Calgary",2,0,2020-08-26
"339","Social Service","North",1,0,2020-08-27
"340","Long-Term Care","South",21,1,2020-08-30
"341","Church","Calgary",167,0,2020-08-30
"342","Childcare","Calgary",2,0,2020-08-30
"343","Social Service","Calgary",6,0,2020-08-30
"344","Long-Term Care","Calgary",6,0,2020-08-30
"345","Social Service","Edmonton",1,0,2020-08-30
"346","Grocery/Essential","Edmonton",21,0,2020-08-30
"347","Acute Care","South",1,0,2020-08-31
"348","Communal","North",795,1,2020-08-31
"349","Food Manufacturing","Edmonton",5,0,2020-08-31
"350","Communal","North",1170,0,2020-09-01
"351","Long-Term Care","North",2,0,2020-09-01
"352","Long-Term Care","Edmonton",5,0,2020-09-01
"353","Long-Term Care","Edmonton",1,0,2020-09-01
"354","Long-Term Care","Edmonton",1,0,2020-09-02
"355","Long-Term Care","Edmonton",1,0,2020-09-02
"356","Long-Term Care","Edmonton",4,0,2020-09-03
"357","Childcare","Edmonton",5,0,2020-09-03
"358","Group Home","Central",3,0,2020-09-03
"359","Long-Term Care","Edmonton",2,0,2020-09-06
"360","Long-Term Care","Calgary",6,0,2020-09-06
"361","Manufacturing","Calgary",336,0,2020-09-06
"362","Long-Term Care","Edmonton",48,6,2020-09-06
"363","Hotel","Edmonton",13,0,2020-09-06
"364","Social Service","Edmonton",4,0,2020-09-07
"365","Long-Term Care","Edmonton",1,0,2020-09-08
"366","Junior/High School","South",2,0,2020-09-09
"367","Junior/High School","Calgary",2,0,2020-09-09
"368","Long-Term Care","Calgary",1,0,2020-09-09
"369","Correctional","Edmonton",1,0,2020-09-09
"370","Private","North",20,0,2020-09-09
"371","Long-Term Care","Calgary",1,0,2020-09-09
"372","School","Calgary",6,0,2020-09-09
"373","Long-Term Care","North",2,0,2020-09-09
"374","Long-Term Care","Edmonton",1,0,2020-09-09
"375","Acute Care","North",14,2,2020-09-09
"376","Long-Term Care","Edmonton",1,0,2020-09-10
"377","Social Service","Edmonton",31,0,2020-09-10
"378","Correctional","Edmonton",231,0,2020-09-10
"379","Communal","North",53,0,2020-09-10
"380","Long-Term Care","Calgary",9,2,2020-09-10
"381","Junior/High School","Edmonton",16,0,2020-09-13
"382","Long-Term Care","North",2,0,2020-09-13
"383","Long-Term Care","North",1,0,2020-09-13
"384","Long-Term Care","Calgary",1,0,2020-09-13
"385","Long-Term Care","Edmonton",57,1,2020-09-13
"386","Childcare","Edmonton",2,0,2020-09-13
"387","School","Calgary",2,0,2020-09-13
"388","Long-Term Care","Edmonton",120,12,2020-09-13
"389","Junior/High School","Calgary",23,0,2020-09-13
"390","Communal","North",3,0,2020-09-13
"391","Long-Term Care","Calgary",3,0,2020-09-13
"392","Acute Care","Edmonton",5,0,2020-09-13
"393","Social Service","Edmonton",7,0,2020-09-13
"394","Social Service","Edmonton",1,0,2020-09-14
"395","Correctional","Edmonton",1,0,2020-09-14
"396","Long-Term Care","Edmonton",2,0,2020-09-14
"397","Long-Term Care","Calgary",1,0,2020-09-14
"398","Construction","Edmonton",5,0,2020-09-14
"399","Restaurant","North",7,0,2020-09-14
"400","Junior/High School","Calgary",2,0,2020-09-14
"401","Junior/High School","Calgary",12,0,2020-09-15
"402","Junior/High School","Edmonton",14,0,2020-09-15
"403","Group Home","Edmonton",2,0,2020-09-15
"404","Long-Term Care","Edmonton",1,0,2020-09-15
"405","Correctional","Edmonton",6,0,2020-09-15
"406","Social Service","Edmonton",3,0,2020-09-16
"407","Long-Term Care","Edmonton",180,14,2020-09-16
"408","Junior/High School","Calgary",2,0,2020-09-16
"409","Social Service","Edmonton",1,0,2020-09-16
"410","Manufacturing","Edmonton",11,0,2020-09-16
"411","Food Manufacturing","Edmonton",25,0,2020-09-16
"412","Long-Term Care","Edmonton",1,0,2020-09-16
"413","Long-Term Care","Calgary",1,0,2020-09-16
"414","School","Calgary",2,0,2020-09-16
"415","Manufacturing","Edmonton",11,0,2020-09-17
"416","School","Edmonton",4,0,2020-09-17
"417","Junior/High School","Edmonton",5,0,2020-09-17
"418","Childcare","Calgary",2,0,2020-09-17
"419","Long-Term Care","Edmonton",1,0,2020-09-17
"420","Long-Term Care","Calgary",1,0,2020-09-17
"421","Manufacturing","Calgary",6,0,2020-09-17
"422","Manufacturing","Calgary",5,0,2020-09-17
"423","Manufacturing","South",6,0,2020-09-17
"424","Food Manufacturing","Calgary",36,0,2020-09-17
"425","Social Service","Edmonton",7,0,2020-09-20
"426","Gym/Sports","Calgary",1,0,2020-09-20
"427","Grocery/Essential","Edmonton",7,0,2020-09-20
"428","Food Manufacturing","Edmonton",7,0,2020-09-20
"429","School","Calgary",3,0,2020-09-20
"430","School","Calgary",3,0,2020-09-20
"431","Post Secondary","Edmonton",5,0,2020-09-20
"432","Junior/High School","North",2,0,2020-09-20
"433","Junior/High School","North",3,0,2020-09-20
"434","Long-Term Care","Edmonton",1,0,2020-09-20
"435","Junior/High School","Edmonton",8,0,2020-09-20
"436","Long-Term Care","Central",1,0,2020-09-20
"437","Long-Term Care","Edmonton",1,0,2020-09-20
"438","Long-Term Care","Calgary",1,0,2020-09-20
"439","Junior/High School","Edmonton",12,0,2020-09-20
"440","Acute Care","Calgary",91,12,2020-09-20
"441","Social Service","Edmonton",63,1,2020-09-20
"442","Social Service","South",3,0,2020-09-20
"443","Long-Term Care","Calgary",156,24,2020-09-20
"444","School","North",4,0,2020-09-20
"445","Junior/High School","Edmonton",6,0,2020-09-21
"446","Manufacturing","Edmonton",7,0,2020-09-21
"447","School","Edmonton",2,0,2020-09-21
"448","School","Edmonton",4,0,2020-09-21
"449","Correctional","Calgary",581,0,2020-09-21
"450","Junior/High School","Edmonton",4,0,2020-09-21
"451","School","Edmonton",6,0,2020-09-21
"452","Social Service","Calgary",2,0,2020-09-21
"453","School","Edmonton",3,0,2020-09-22
"454","School","Calgary",7,0,2020-09-22
"455","Frontline","Calgary",2,0,2020-09-22
"456","Long-Term Care","Edmonton",1,0,2020-09-22
"457","Junior/High School","Edmonton",12,0,2020-09-23
"458","School","North",2,0,2020-09-23
"459","School","Edmonton",2,0,2020-09-23
"460","Junior/High School","Edmonton",16,0,2020-09-23
"461","Acute Care","Edmonton",8,0,2020-09-23
"462","Long-Term Care","Edmonton",113,16,2020-09-23
"463","Childcare","Edmonton",2,0,2020-09-23
"464","School","North",1,0,2020-09-24
"465","Childcare","Edmonton",2,0,2020-09-24
"466","Food Manufacturing","Edmonton",63,0,2020-09-24
"467","Social Service","Edmonton",4,0,2020-09-24
"468","School","Calgary",5,0,2020-09-24
"469","School","Calgary",2,0,2020-09-24
"470","School","Calgary",2,0,2020-09-24
"471","School","Edmonton",3,0,2020-09-24
"472","Long-Term Care","Edmonton",17,0,2020-09-24
"473","Long-Term Care","Edmonton",2,0,2020-09-27
"474","Junior/High School","Edmonton",5,0,2020-09-27
"475","Auto Delearship","Edmonton",6,0,2020-09-27
"476","Junior/High School","Edmonton",26,0,2020-09-27
"477","Junior/High School","Calgary",31,0,2020-09-27
"478","Private","North",10,0,2020-09-27
"479","Acute Care","Edmonton",7,0,2020-09-27
"480","School","Edmonton",3,0,2020-09-27
"481","School","Edmonton",3,0,2020-09-27
"482","School","North",3,0,2020-09-27
"483","School","Calgary",3,0,2020-09-27
"484","School","Edmonton",3,0,2020-09-27
"485","Food Manufacturing","Calgary",4,0,2020-09-27
"486","Long-Term Care","Edmonton",2,0,2020-09-27
"487","Acute Care","Edmonton",10,0,2020-09-27
"488","Long-Term Care","Edmonton",1,0,2020-09-27
"489","Long-Term Care","Edmonton",1,0,2020-09-27
"490","Long-Term Care","Edmonton",1,0,2020-09-27
"491","School","Edmonton",2,0,2020-09-27
"492","School","Edmonton",2,0,2020-09-27
"493","School","Calgary",2,0,2020-09-27
"494","Junior/High School","Edmonton",3,0,2020-09-27
"495","Junior/High School","Edmonton",4,0,2020-09-28
"496","Shelter","Calgary",1,0,2020-09-28
"497","Communal","Calgary",10,0,2020-09-28
"498","Hotel","Calgary",8,0,2020-09-28
"499","Long-Term Care","Edmonton",1,0,2020-09-28
"500","Junior/High School","Edmonton",5,0,2020-09-29
"501","School","Calgary",2,0,2020-09-29
"502","Childcare","Edmonton",4,0,2020-09-29
"503","Long-Term Care","Edmonton",2,0,2020-09-29
"504","Private","Calgary",13,0,2020-09-29
"505","School","Edmonton",4,0,2020-09-29
"506","School","Edmonton",5,0,2020-09-29
"507","Long-Term Care","Edmonton",157,43,2020-09-30
"508","Acute Care","Calgary",1,0,2020-09-30
"509","Long-Term Care","Edmonton",1,0,2020-09-30
"510","Long-Term Care","Edmonton",5,0,2020-09-30
"511","School","Edmonton",2,0,2020-09-30
"512","School","Edmonton",2,0,2020-09-30
"513","Long-Term Care","Calgary",2,0,2020-10-04
"514","Manufacturing","Edmonton",7,0,2020-10-04
"515","School","Edmonton",4,0,2020-10-04
"516","School","Calgary",10,0,2020-10-04
"517","Junior/High School","Edmonton",4,0,2020-10-04
"518","Manufacturing","Edmonton",12,0,2020-10-04
"519","Food Manufacturing","Edmonton",6,0,2020-10-04
"520","Junior/High School","Edmonton",39,0,2020-10-04
"521","Childcare","Edmonton",2,0,2020-10-04
"522","Long-Term Care","Edmonton",1,0,2020-10-04
"523","Long-Term Care","Central",1,0,2020-10-04
"524","Private","Edmonton",8,0,2020-10-04
"525","Long-Term Care","Calgary",1,0,2020-10-04
"526","Social Service","Edmonton",4,0,2020-10-04
"527","School","Edmonton",4,0,2020-10-04
"528","Long-Term Care","Edmonton",1,0,2020-10-04
"529","Private","Edmonton",10,0,2020-10-04
"530","Social Service","Edmonton",1,0,2020-10-04
"531","Long-Term Care","Edmonton",5,0,2020-10-04
"532","Long-Term Care","Edmonton",3,0,2020-10-04
"533","School","Calgary",6,0,2020-10-04
"534","School","Edmonton",9,0,2020-10-04
"535","School","Edmonton",2,0,2020-10-04
"536","Church","South",45,0,2020-10-04
"537","School","Edmonton",2,0,2020-10-04
"538","School","Edmonton",2,0,2020-10-04
"539","Private","North",13,0,2020-10-04
"540","Long-Term Care","Edmonton",49,5,2020-10-04
"541","School","Edmonton",3,0,2020-10-04
"542","Social Service","Edmonton",1,0,2020-10-04
"543","Long-Term Care","Edmonton",3,1,2020-10-04
"544","Office","Edmonton",5,0,2020-10-04
"545","School","Calgary",2,0,2020-10-04
"546","School","Calgary",2,0,2020-10-04
"547","Long-Term Care","Calgary",15,2,2020-10-05
"548","Childcare","South",21,0,2020-10-05
"549","Private","Edmonton",12,0,2020-10-05
"550","School","Edmonton",24,0,2020-10-05
"551","School","Edmonton",59,0,2020-10-05
"552","Private","Edmonton",9,0,2020-10-05
"553","Junior/High School","Calgary",10,0,2020-10-05
"554","Social Service","South",6,0,2020-10-05
"555","Acute Care","Edmonton",64,9,2020-10-06
"556","School","Edmonton",2,0,2020-10-06
